Epoch 130 | avg_return = 0.30 | loss: val = 3.04, pol = 0.14 | time = 12.02 | emb_accuracy = 0.84
Epoch 131 | avg_return = 0.37 | loss: val = 3.22, pol = -3.23 | time = 12.00 | emb_accuracy = 0.86
Epoch 132 | avg_return = 0.32 | loss: val = 3.19, pol = -1.03 | time = 12.03 | emb_accuracy = 0.80
Epoch 133 | avg_return = 0.35 | loss: val = 3.46, pol = -0.60 | time = 12.03 | emb_accuracy = 0.88
Epoch 134 | avg_return = 0.31 | loss: val = 3.23, pol = -2.45 | time = 11.93 | emb_accuracy = 0.88
Epoch 135 | avg_return = 0.36 | loss: val = 3.07, pol = -2.56 | time = 12.80 | emb_accuracy = 0.80
Epoch 136 | avg_return = 0.36 | loss: val = 3.38, pol = 0.31 | time = 13.10 | emb_accuracy = 0.84
Epoch 137 | avg_return = 0.35 | loss: val = 3.32, pol = -3.37 | time = 12.55 | emb_accuracy = 0.88
Epoch 138 | avg_return = 0.32 | loss: val = 3.20, pol = -1.82 | time = 13.23 | emb_accuracy = 0.86
Epoch 139 | avg_return = 0.33 | loss: val = 3.50, pol = 2.77 | time = 14.41 | emb_accuracy = 0.87
Epoch 140 | avg_return = 0.29 | loss: val = 2.80, pol = -0.00 | time = 13.51 | emb_accuracy = 0.82
Epoch 141 | avg_return = 0.37 | loss: val = 3.42, pol = -3.58 | time = 14.90 | emb_accuracy = 0.90
Epoch 142 | avg_return = 0.39 | loss: val = 3.28, pol = -0.92 | time = 14.20 | emb_accuracy = 0.93
Epoch 143 | avg_return = 0.36 | loss: val = 3.14, pol = -2.91 | time = 12.69 | emb_accuracy = 0.88
Epoch 144 | avg_return = 0.37 | loss: val = 2.99, pol = -2.66 | time = 12.73 | emb_accuracy = 0.90
Epoch 145 | avg_return = 0.35 | loss: val = 3.37, pol = -4.07 | time = 12.39 | emb_accuracy = 0.85
Epoch 146 | avg_return = 0.37 | loss: val = 3.45, pol = -1.68 | time = 12.45 | emb_accuracy = 0.87
Epoch 147 | avg_return = 0.38 | loss: val = 3.27, pol = -0.69 | time = 12.04 | emb_accuracy = 0.86
Epoch 148 | avg_return = 0.36 | loss: val = 3.40, pol = -4.67 | time = 12.04 | emb_accuracy = 0.86
Epoch 149 | avg_return = 0.33 | loss: val = 3.19, pol = 0.04 | time = 12.09 | emb_accuracy = 0.87
Epoch 150 | avg_return = 0.37 | loss: val = 3.44, pol = 2.15 | time = 12.24 | emb_accuracy = 0.84
Epoch 151 | avg_return = 0.37 | loss: val = 3.36, pol = -2.93 | time = 12.09 | emb_accuracy = 0.92
Epoch 152 | avg_return = 0.32 | loss: val = 3.01, pol = -0.51 | time = 12.12 | emb_accuracy = 0.91
Epoch 153 | avg_return = 0.41 | loss: val = 3.22, pol = -2.19 | time = 12.13 | emb_accuracy = 0.93
Epoch 154 | avg_return = 0.37 | loss: val = 3.08, pol = -3.27 | time = 12.11 | emb_accuracy = 0.90
Epoch 155 | avg_return = 0.38 | loss: val = 3.25, pol = -4.18 | time = 12.15 | emb_accuracy = 0.92
Epoch 156 | avg_return = 0.40 | loss: val = 3.35, pol = -0.46 | time = 12.13 | emb_accuracy = 0.90
Epoch 157 | avg_return = 0.33 | loss: val = 3.31, pol = -4.30 | time = 12.36 | emb_accuracy = 0.87
Epoch 158 | avg_return = 0.40 | loss: val = 3.47, pol = -0.52 | time = 12.40 | emb_accuracy = 0.89
Epoch 159 | avg_return = 0.40 | loss: val = 3.47, pol = 1.53 | time = 12.38 | emb_accuracy = 0.89
Epoch 160 | avg_return = 0.37 | loss: val = 3.26, pol = -2.68 | time = 12.13 | emb_accuracy = 0.92
Epoch 161 | avg_return = 0.38 | loss: val = 3.33, pol = -5.09 | time = 12.10 | emb_accuracy = 0.89
Epoch 162 | avg_return = 0.39 | loss: val = 3.35, pol = -3.32 | time = 12.14 | emb_accuracy = 0.90
Epoch 163 | avg_return = 0.39 | loss: val = 3.26, pol = -1.14 | time = 12.03 | emb_accuracy = 0.91
